Jute,Winter,Clay,Mymensingh,November-December,1.5
Spices,Autumn,Sandy,Mymensingh,September-October,0.8
Spices,Autumn,Peaty,Rangpur,September-October,0.8
Wheat,Autumn,Silt,Rajshahi,November-December,1.2
Rice,Monsoon,Clay,Rangpur,June-July,0.86
Spices,Monsoon,Silt,Sylhet,April-May,0.8
Maize,Monsoon,Loamy,Sylhet,May-June,1.5
Spices,Winter,Clay,Chattogram,October-November,0.8
Vegetables,Summer,Peaty,Khulna,March-April,4.12
Maize,Monsoon,Sandy,Rangpur,May-June,1.5
Vegetables,Autumn,Clay,Chattogram,August-September,4.12
Tea,Autumn,Peaty,Rajshahi,August-September,0.71
Maize,Monsoon,Silt,Rajshahi,May-June,1.5
Jute,Autumn,Silt,Khulna,July-August,1.5
Wheat,Winter,Loamy,Rangpur,November-December,1.2
Rice,Autumn,Loamy,Khulna,October-November,0.86
Rice,Autumn,Loamy,Barishal,October-November,0.86
Rice,Summer,Sandy,Barishal,June-July,0.86
Vegetables,Summer,Silt,Rajshahi,March-April,4.12
Rice,Autumn,Silt,Dhaka,October-November,0.86
Spices,Monsoon,Peaty,Chattogram,April-May,0.8
Spices,Autumn,Loamy,Dhaka,September-October,0.8
Rice,Summer,Peaty,Chattogram,June-July,0.86
Jute,Monsoon,Loamy,Sylhet,March-April,1.5
Vegetables,Monsoon,Peaty,Chattogram,May-June,4.12
Vegetables,Winter,Loamy,Barishal,October-November,4.12
Spices,Monsoon,Peaty,Khulna,April-May,0.8
Vegetables,Monsoon,Silt,Mymensingh,May-June,4.12
Tea,Autumn,Loamy,Khulna,August-September,0.71
Vegetables,Summer,Clay,Rajshahi,March-April,4.12
Maize,Monsoon,Sandy,Rangpur,May-June,1.5
Rice,Winter,Clay,Barishal,November-December,0.86
Jute,Summer,Silt,Khulna,March-April,1.5
Jute,Summer,Clay,Mymensingh,March-April,1.5
Jute,Summer,Peaty,Khulna,March-April,1.5
Tea,Summer,Silt,Chattogram,March-April,0.71
Vegetables,Summer,Clay,Sylhet,March-April,4.12
Maize,Monsoon,Peaty,Khulna,May-June,1.5
Spices,Winter,Loamy,Barishal,October-November,0.8
Vegetables,Winter,Silt,Rajshahi,October-November,4.12
Vegetables,Autumn,Loamy,Rajshahi,August-September,4.12
Tea,Winter,Clay,Chattogram,November-December,0.71
Tea,Autumn,Loamy,Rajshahi,August-September,0.71
Tea,Monsoon,Silt,Khulna,March-April,0.71
Jute,Autumn,Peaty,Dhaka,July-August,1.5
Wheat,Monsoon,Silt,Rajshahi,November-December,1.2
Tea,Monsoon,Peaty,Rajshahi,March-April,0.71
Spices,Monsoon,Clay,Rajshahi,April-May,0.8
Maize,Autumn,Peaty,Rajshahi,August-September,1.5
Maize,Monsoon,Silt,Chattogram,May-June,1.5
Vegetables,Autumn,Clay,Chattogram,August-September,4.12
crop_name,season,soil_type,suitable_regions,planting_time,yield_per_acre_tons
Spices,Summer,Silt,Barishal,April-May,0.8
Jute,Winter,Peaty,Sylhet,November-December,1.5
Vegetables,Autumn,Loamy,Chattogram,August-September,4.12
Wheat,Autumn,Peaty,Dhaka,November-December,1.2
Wheat,Winter,Clay,Sylhet,November-December,1.2
Rice,Monsoon,Silt,Mymensingh,June-July,0.86
Vegetables,Monsoon,Clay,Rangpur,May-June,4.12
Maize,Winter,Peaty,Sylhet,November-December,1.5
Tea,Summer,Sandy,Rangpur,March-April,0.71
Spices,Summer,Sandy,Dhaka,April-May,0.8
Tea,Autumn,Clay,Chattogram,August-September,0.71
Rice,Autumn,Sandy,Rangpur,October-November,0.86
Vegetables,Summer,Sandy,Sylhet,March-April,4.12
Maize,Autumn,Loamy,Rajshahi,August-September,1.5
Wheat,Autumn,Peaty,Rajshahi,November-December,1.2
Rice,Summer,Peaty,Dhaka,June-July,0.86
Jute,Summer,Peaty,Rajshahi,March-April,1.5
Rice,Autumn,Loamy,Khulna,October-November,0.86
Tea,Monsoon,Peaty,Sylhet,March-April,0.71
Vegetables,Monsoon,Sandy,Dhaka,May-June,4.12
Wheat,Winter,Sandy,Dhaka,November-December,1.2
Rice,Winter,Peaty,Sylhet,November-December,0.86
Spices,Summer,Peaty,Rangpur,April-May,0.8
Spices,Winter,Peaty,Khulna,October-November,0.8
Jute,Winter,Sandy,Rangpur,November-December,1.5
Vegetables,Monsoon,Loamy,Dhaka,May-June,4.12
Jute,Winter,Clay,Chattogram,November-December,1.5
Jute,Summer,Silt,Dhaka,March-April,1.5
Wheat,Winter,Silt,Barishal,November-December,1.2
Wheat,Summer,Loamy,Mymensingh,November-December,1.2
Rice,Monsoon,Sandy,Sylhet,June-July,0.86
Tea,Winter,Sandy,Barishal,November-December,0.71
Wheat,Monsoon,Peaty,Mymensingh,November-December,1.2
Tea,Summer,Clay,Barishal,March-April,0.71
Maize,Autumn,Clay,Chattogram,August-September,1.5
Wheat,Autumn,Loamy,Rangpur,November-December,1.2
Jute,Summer,Sandy,Mymensingh,March-April,1.5
Maize,Winter,Peaty,Khulna,November-December,1.5
Wheat,Winter,Peaty,Rajshahi,November-December,1.2
Tea,Autumn,Loamy,Rajshahi,August-September,0.71
Wheat,Monsoon,Silt,Mymensingh,November-December,1.2
Spices,Winter,Sandy,Rangpur,October-November,0.8
Wheat,Monsoon,Clay,Sylhet,November-December,1.2
Wheat,Summer,Loamy,Rajshahi,November-December,1.2
Vegetables,Monsoon,Sandy,Sylhet,May-June,4.12
Spices,Summer,Peaty,Rajshahi,April-May,0.8
Rice,Winter,Sandy,Rangpur,November-December,0.86
Vegetables,Monsoon,Silt,Rangpur,May-June,4.12
Maize,Monsoon,Peaty,Chattogram,May-June,1.5
Rice,Autumn,Loamy,Sylhet,October-November,0.86
Tea,Monsoon,Peaty,Mymensingh,March-April,0.71
Tea,Summer,Clay,Dhaka,March-April,0.71
Vegetables,Winter,Sandy,Chattogram,October-November,4.12
Maize,Summer,Clay,Rangpur,March-April,1.5
Maize,Winter,Silt,Sylhet,November-December,1.5
Wheat,Winter,Silt,Mymensingh,November-December,1.2
Rice,Autumn,Loamy,Rangpur,October-November,0.86
Wheat,Winter,Clay,Rangpur,November-December,1.2
Wheat,Monsoon,Clay,Sylhet,November-December,1.2
Wheat,Summer,Loamy,Rajshahi,November-December,1.2
Vegetables,Monsoon,Sandy,Sylhet,May-June,4.12
Spices,Summer,Peaty,Rajshahi,April-May,0.8
Rice,Winter,Clay,Mymensingh,November-December,0.86
Spices,Winter,Clay,Dhaka,October-November,0.8
Wheat,Winter,Peaty,Khulna,November-December,1.2
Maize,Autumn,Sandy,Barishal,August-September,1.5
Rice,Monsoon,Silt,Sylhet,June-July,0.86
Tea,Winter,Peaty,Rajshahi,November-December,0.71
Rice,Summer,Loamy,Rajshahi,June-July,0.86
Vegetables,Summer,Clay,Khulna,March-April,4.12
Wheat,Summer,Loamy,Chattogram,November-December,1.2
Tea,Autumn,Peaty,Mymensingh,August-September,0.71
Jute,Autumn,Clay,Dhaka,July-August,1.5
Jute,Autumn,Silt,Rangpur,July-August,1.5
Tea,Summer,Sandy,Mymensingh,March-April,0.71
Wheat,Autumn,Sandy,Rajshahi,November-December,1.2
Vegetables,Winter,Clay,Khulna,October-November,4.12
Wheat,Summer,Loamy,Chattogram,November-December,1.2
Spices,Monsoon,Peaty,Mymensingh,April-May,0.8
Tea,Summer,Peaty,Rangpur,March-April,0.71
Maize,Monsoon,Silt,Rangpur,May-June,1.5
Vegetables,Winter,Sandy,Khulna,October-November,4.12
Vegetables,Summer,Sandy,Sylhet,March-April,4.12
Jute,Autumn,Silt,Barishal,July-August,1.5
Rice,Winter,Silt,Rangpur,November-December,0.86
Maize,Summer,Loamy,Sylhet,March-April,1.5
Wheat,Autumn,Loamy,Dhaka,November-December,1.2
Maize,Monsoon,Sandy,Rajshahi,May-June,1.5
Tea,Summer,Sandy,Sylhet,March-April,0.71
Vegetables,Monsoon,Silt,Barishal,May-June,4.12
Spices,Monsoon,Silt,Rajshahi,April-May,0.8
Spices,Winter,Clay,Sylhet,October-November,0.8
Jute,Autumn,Peaty,Barishal,July-August,1.5
Vegetables,Monsoon,Peaty,Mymensingh,May-June,4.12
Vegetables,Monsoon,Clay,Chattogram,May-June,4.12
Rice,Summer,Sandy,Rangpur,June-July,0.86
Maize,Monsoon,Loamy,Rajshahi,May-June,1.5
Tea,Summer,Silt,Chattogram,March-April,0.71
Maize,Autumn,Silt,Dhaka,August-September,1.5
Spices,Winter,Clay,Barishal,October-November,0.8
Spices,Monsoon,Loamy,Mymensingh,April-May,0.8
Rice,Autumn,Sandy,Sylhet,October-November,0.86
Rice,Summer,Clay,Khulna,June-July,0.86
Rice,Summer,Loamy,Dhaka,June-July,0.86
Rice,Autumn,Sandy,Sylhet,October-November,0.86
Maize,Autumn,Silt,Barishal,August-September,1.5
Vegetables,Monsoon,Silt,Barishal,May-June,4.12
Maize,Winter,Sandy,Rajshahi,November-December,1.5
Rice,Autumn,Peaty,Sylhet,October-November,0.86
Maize,Autumn,Loamy,Rajshahi,August-September,1.5
Jute,Winter,Loamy,Rajshahi,November-December,1.5
Spices,Autumn,Silt,Rajshahi,September-October,0.8
Tea,Summer,Sandy,Rajshahi,March-April,0.71
Rice,Autumn,Residential,Dhaka,October-November,0.86
Vegetables,Autumn,Clay,Barishal,August-September,4.12
Maize,Winter,Silt,Dhaka,November-December,1.5
Tea,Autumn,Clay,Sylhet,August-September,0.71
Maize,Monsoon,Silt,Sylhet,May-June,1.5
Rice,Summer,Clay,Mymensingh,June-July,0.86
Wheat,Summer,Clay,Khulna,November-December,1.2
Rice,Summer,Loamy,Dhaka,June-July,0.86
Rice,Autumn,Clay,Sylhet,October-November,0.86
Maize,Autumn,Silt,Barishal,August-September,1.5
Vegetables,Monsoon,Silt,Barishal,May-June,4.12
Maize,Winter,Sandy,Rajshahi,November-December,1.5
Rice,Autumn,Sandy,Rangpur,October-November,0.86
Maize,Summer,Loamy,Rajshahi,March-April,1.5
Tea,Summer,Silt,Chattogram,March-April,0.71
Maize,Autumn,Silt,Dhaka,August-September,1.5
Spices,Winter,Clay,Barishal,October-November,0.8
Spices,Monsoon,Loamy,Mymensingh,April-May,0.8
Rice,Autumn,Sandy,Sylhet,October-November,0.86
Rice,Summer,Clay,Khulna,June-July,0.86
Rice,Summer,Loamy,Dhaka,June-July,0.86
Rice,Autumn,Sandy,Sylhet,October-November,0.86
Maize,Autumn,Silt,Barishal,August-September,1.5
Vegetables,Monsoon,Silt,Barishal,May-June,4.12
Maize,Winter,Sandy,Rajshahi,November-December,1.5
Rice,Autumn,Peaty,Sylhet,October-November,0.86
Maize,Autumn,Loamy,Rajshahi,August-September,1.5
Jute,Winter,Loamy,Rajshahi,November-December,1.5
Spices,Autumn,Silt,Rajshahi,September-October,0.8
Tea,Summer,Sandy,Rajshahi,March-April,0.71
Rice,Autumn,Sandy,Dhaka,October-November,0.86
Vegetables,Autumn,Clay,Barishal,August-September,4.12
Maize,Winter,Silt,Dhaka,November-December,1.5
Tea,Autumn,Clay,Sylhet,August-September,0.71
Maize,Monsoon,Silt,Sylhet,May-June,1.5
Rice,Summer,Clay,Mymensingh,June-July,0.86
Maize,Monsoon,Sandy,Khulna,May-June,1.5
Spices,Summer,Silt,Khulna,April-May,0.8
Maize,Summer,Loamy,Rajshahi,March-April,1.5
Maize,Summer,Clay,Mymensingh,March-April,1.5
Rice,Summer,Peaty,Barishal,June-July,0.86
Vegetables,Monsoon,Peaty,Barishal,May-June,4.12
Wheat,Monsoon,Sandy,Rangpur,November-December,1.2
Tea,Autumn,Loamy,Chattogram,August-September,0.71
Jute,Autumn,Silt,Sylhet,July-August,1.5
Jute,Monsoon,Silt,Khulna,March-April,1.5
Vegetables,Winter,Peaty,Khulna,October-November,4.12
Maize,Monsoon,Loamy,Dhaka,May-June,1.5
Maize,Summer,Clay,Mymensingh,March-April,1.5
Maize,Winter,Sandy,Barishal,November-December,1.5
Jute,Winter,Sandy,Rajshahi,November-December,1.5
Tea,Summer,Loamy,Sylhet,March-April,0.71
Maize,Winter,Silt,Khulna,November-December,1.5
Jute,Summer,Sandy,Mymensingh,March-April,1.5
Spices,Monsoon,Clay,Chattogram,April-May,0.8
Jute,Summer,Sandy,Sylhet,March-April,1.5
Spices,Autumn,Loamy,Rajshahi,September-October,0.8
Jute,Monsoon,Silt,Sylhet,March-April,1.5
Rice,Summer,Clay,Dhaka,June-July,0.86
Vegetables,Summer,Sandy,Chattogram,March-April,4.12
Vegetables,Autumn,Peaty,Khulna,August-September,4.12
Spices,Monsoon,Clay,Sylhet,April-May,0.8
Jute,Monsoon,Clay,Sylhet,March-April,1.5
Spices,Monsoon,Clay,Barishal,April-May,0.8
Rice,Winter,Peaty,Chattogram,November-December,0.86
Rice,Summer,Clay,Mymensingh,June-July,0.86
Rice,Autumn,Loamy,Rangpur,October-November,0.86
Rice,Autumn,Clay,Sylhet,October-November,0.86
Jute,Autumn,Peaty,Barishal,July-August,1.5
Vegetables,Autumn,Silt,Dhaka,August-September,4.12
Spices,Winter,Sandy,Barishal,October-November,0.8
Spices,Monsoon,Silt,Chattogram,April-May,0.8
Spices,Winter,Peaty,Dhaka,October-November,0.8
Jute,Autumn,Loamy,Barishal,July-August,1.5
Tea,Winter,Sandy,Chattogram,November-December,0.71
Rice,Winter,Sandy,Dhaka,November-December,0.86
Tea,Summer,Clay,Rangpur,March-April,0.71
Tea,Autumn,Loamy,Sylhet,August-September,0.71
Maize,Winter,Peaty,Dhaka,November-December,1.5
Jute,Monsoon,Silt,Dhaka,March-April,1.5
Wheat,Summer,Peaty,Khulna,November-December,1.2
Tea,Summer,Peaty,Dhaka,March-April,0.71
Maize,Monsoon,Clay,Mymensingh,May-June,1.5
Maize,Autumn,Clay,Rangpur,August-September,1.5
Tea,Winter,Sandy,Rangpur,November-December,0.71
Vegetables,Autumn,Loamy,Khulna,August-September,4.12
Maize,Winter,Loamy,Mymensingh,November-December,1.5
Wheat,Autumn,Peaty,Rajshahi,November-December,1.2
Wheat,Autumn,Peaty,Rajshahi,November-December,1.2
Tea,Monsoon,Sandy,Sylhet,March-April,0.71
Wheat,Winter,Peaty,Rangpur,November-December,1.2
Tea,Summer,Peaty,Barishal,March-April,0.71
Tea,Winter,Silt,Chattogram,November-December,0.71
Wheat,Autumn,Peaty,Chattogram,November-December,1.2
Spices,Monsoon,Sandy,Barishal,April-May,0.8
Spices,Autumn,Sandy,Rajshahi,September-October,0.8
Spices,Summer,Silt,Chattogram,April-May,0.8
Spices,Summer,Peaty,Khulna,April-May,0.8
Rice,Autumn,Sandy,Dhaka,October-November,0.86
Wheat,Summer,Silt,Mymensingh,November-December,1.2
Vegetables,Monsoon,Silt,Sylhet,May-June,4.12
Rice,Autumn,Sandy,Sylhet,October-November,0.86
Tea,Summer,Peaty,Dhaka,March-April,0.71
Wheat,Monsoon,Clay,Mymensingh,November-December,1.2
Vegetables,Summer,Loamy,Dhaka,March-April,4.12
Maize,Monsoon,Loamy,Sylhet,May-June,1.5
Maize,Summer,Silt,Dhaka,March-April,1.5
Maize,Monsoon,Silt,Rajshahi,May-June,1.5
Spices,Summer,Silt,Rajshahi,April-May,0.8
Rice,Winter,Clay,Rajshahi,November-December,0.86
Vegetables,Monsoon,Peaty,Rangpur,May-June,4.12
Spices,Winter,Peaty,Rangpur,October-November,0.8
Wheat,Summer,Sandy,Rangpur,November-December,1.2
Jute,Autumn,Sandy,Khulna,July-August,1.5
Rice,Winter,Sandy,Dhaka,November-December,0.86
Maize,Summer,Sandy,Sylhet,March-April,1.5
Vegetables,Monsoon,Clay,Chattogram,May-June,4.12
Vegetables,Winter,Silt,Mymensingh,October-November,4.12
Maize,Winter,Clay,Chattogram,November-December,1.5
Jute,Summer,Silt,Khulna,March-April,1.5
Tea,Winter,Sandy,Dhaka,November-December,0.71
Jute,Monsoon,Peaty,Rangpur,March-April,1.5
